Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
39,DeAndre' Bembry,SG,24,ATL,29,2,22.7,3.1,7.7,0.41,0.8,2.5,0.319,2.3,5.2,0.453,0.462,1.2,2,0.603,0.5,3.8,4.3,2.7,1.3,0.7,1.6,2.4,8.3
40,Dragan Bender,PF,21,PHO,10,0,8.6,0.8,2.2,0.364,0.2,1.3,0.154,0.6,0.9,0.667,0.409,0.5,0.5,1,0.5,1,1.5,0.5,0,0,0.6,0.8,2.3
41,Davis Bertans,PF,26,SAS,26,4,17.3,2.4,5,0.481,1.6,3.6,0.447,0.8,1.3,0.571,0.643,0.7,0.7,0.895,0.5,2.2,2.6,0.9,0.4,0.4,0.5,1.4,7
42,Patrick Beverley,PG,30,LAC,29,16,24.5,2.1,6,0.349,1.1,3.5,0.317,1,2.6,0.392,0.44,1.1,1.4,0.805,0.7,3,3.7,3.4,0.7,0.3,1.1,3.4,6.4
43,Khem Birch,C,26,ORL,9,0,7.3,1.1,1.9,0.588,0,0,,1.1,1.9,0.588,0.588,0.2,0.2,1,0.7,1.4,2.1,0.2,0.4,0.2,0.3,0.8,2.4
44,Bismack Biyombo,C,26,CHO,10,0,7.7,0.7,1.2,0.583,0,0,,0.7,1.2,0.583,0.583,0.4,0.9,0.444,0.5,1.3,1.8,0.2,0.1,0.9,0.4,1.7,1.8
45,Nemanja Bjelica,PF,30,SAC,29,29,24.6,4.4,8.1,0.543,1.7,3.5,0.485,2.7,4.6,0.586,0.647,1,1.3,0.769,1.4,4.5,5.9,2,0.9,0.8,1.4,2.7,11.5
46,Antonio Blakeney,SG,22,CHI,24,0,17.1,3.7,8.7,0.426,1.1,2.4,0.448,2.6,6.3,0.417,0.488,1,1.5,0.657,0.2,1.7,1.9,0.5,0.3,0.2,0.9,0.8,9.5
47,Eric Bledsoe,PG,29,MIL,28,28,29.9,6.2,12.3,0.506,1.8,4.9,0.355,4.5,7.4,0.607,0.577,2,2.8,0.74,1.2,3.2,4.4,5.8,1.4,0.5,2.2,2.3,16.2
48,Jaron Blossomgame,SF,25,CLE,7,1,13.9,1.3,2.9,0.45,0.4,1.3,0.333,0.9,1.6,0.545,0.525,0.4,0.4,1,0.9,3.3,4.1,0.6,0.1,0.1,0.1,0.6,3.4
49,Bogdan Bogdanovic,SG,26,SAC,18,3,27.7,5.6,12.7,0.439,2.1,5.8,0.356,3.5,6.9,0.508,0.52,2.1,2.4,0.841,0.5,3,3.5,3.9,0.7,0.1,1.2,2.2,15.2
50,Bojan Bogdanovic,SF,29,IND,30,30,31.5,5.8,11.2,0.519,2.1,4.4,0.489,3.7,6.8,0.539,0.615,2.7,3.3,0.82,0.4,3.5,3.9,1.5,0.8,0,1.8,1.7,16.5
51,Jonah Bolden,PF,23,PHI,8,0,5.6,0.6,1.5,0.417,0.1,0.9,0.143,0.5,0.6,0.8,0.458,0.1,0.3,0.5,0.3,1.3,1.5,0.3,0.4,0.1,0.4,0.9,1.5
